,date,headline,story
0," Apr 18, 2018 ", Amazon's Bezos Reveals Company Has Topped 100 Million Prime Members ,"          Mark Mahaney, analyst at RBC Capital Markets, and Bloomberg's Spencer Soper discuss Amazon CEO Jeff Bezos' annual shareholder letter and paid subscriptions for Prime. They speak with Emily... "
1," Apr 18, 2018 ", RBC's Mahaney Sees 200 Million Amazon Prime Members by 2021 ,"                                     Mark Mahaney, analyst at RBC Capital Markets, discusses Amazon's paid Prime subscribers with Emily Chang on ""Bloomberg Markets.""... "
2," Apr 18, 2018 ", Postal Board Nominees Willing to Challenge Trump in Amazon Feud , confidential agreements that are negotiated with private companies such as Amazon and United Parcel Service Inc.Amazon regularly uses the U.S. Postal Service to complete what’s called the “last... 
3," Apr 18, 2018 ", NBA Video-Game League to Stream Exclusively on Amazon's Twitch ," video-game league signed a multiyear broadcast contract with Twitch, the streaming service owned by Amazon.com Inc.The NBA 2K League, a joint venture with Take-Two Interactive Software Inc., will live-stream... "
4," Apr 18, 2018 ", Jeff Bezos Says Amazon Has Exceeded 100 Million Paid Prime Members ," Amazon.com Chief Executive Officer Jeff Bezos said the company has exceeded 100 million paid Prime subscribers and will continue to invest to meet “ever-rising” customer expectations, Bloomberg... "
5," Apr 18, 2018 ", Trump Tweets About Amazon: 6. Trump Mentions in Bezos Letter: 0 ," lobbed Twitter bombs at Amazon.com Inc. and its founding Chief Executive Officer Jeff Bezos, the answer is six.If you thought Bezos would respond in his annual letter to Amazon’s shareholders and defend... "
6," Apr 18, 2018 ", Grainger's Revival Story Winning Converts as Amazon Effect Fades , Investors seemed to have left WW Grainger Inc. for dead last year as a perceived threat from Amazon.com Inc. pushed the industrial distributor’s stock to a six-year low in August.Now the price-cutting... 
7," Apr 18, 2018 "," Amazon, Google and Facebook All Face Pressure in Russia "," first by Amazon and then by Google.Durov, for his part, used his Telegram channel -- accessible to most Russian users, too, despite Roskomnadzor's efforts -- to thank Apple, Google,  Amazon and Microsoft... "
8," Apr 18, 2018 "," Amazon Exceeded 100m Paid Prime Members, CEO Bezos Says "," plows Amazon’s money into expanding internationally, building a brick-and-mortar presence, and inventing new products like Echo speakers and the Alexa voice-activated digital assistantAmazon is under... "
9," Apr 18, 2018 ", Ivanhoe Targets Warehouses to Boost Assets 33% in Amazon Era , soaring in value amid a global shift to e-commerce and the need for logistics centers in the Amazon.com Inc. age. Canada’s industrial vacancy rate dropped to 3.9 percent at the end of last year... 
10," Apr 18, 2018 ", Russia’s War on Telegram Threatens to Reach Amazon and Google , the Telegram messaging service threaten to drag U.S. tech giants including Alphabet Inc. and Amazon.com Inc. into the war with founder Pavel Durov as he turns to proxy servers to bypass the blocking... 
11," Apr 16, 2018 ", CVS Rallies After Amazon Report , rallied after a report that Amazon.com Inc. had shelved plans to sell drugs to hospitals and other businesses.The report on Monday by CNBC said little about whether Amazon would ultimately enter the... 
12," Apr 16, 2018 ", Amazon Shelves Plan To Sell Prescription Drugs ," Amazon has shelved its plans to sell prescription drugs to hospitals, CNBC reports #tictocnews https://bloom... "
13," Apr 18, 2018 ", Today's Top Tech Headlines , down today's hottest tech headlines #tictocnews Here's what's coming up next on #tictocnews - Amazon exceeds 100M Prime members - Facebook designing its own processors - Saudi Arabia screens 'Black... 
14," Apr 17, 2018 ", Walmart Spruces Up Website in Bid to Capture Traffic From Amazon ," next month, part of a strategy by the world’s largest retailer to lure customers away from rival Amazon.com Inc. with a more personalized shopping experience.The new site will include new colors, fonts... "
15," Apr 17, 2018 ", Walmart Online Grocery: What It's Getting Right , moment when Amazon does not appear to be moving very decisively on this front. It recently added delivery from Whole Foods locations in several cities -- but also has scaled back its AmazonFresh delivery... 
16," Apr 17, 2018 ", Walmart Redesigned Its Website ,                          Walmart has redesigned its website in a bid to capture traffic from Amazon https://bloom.bg/2qFe3hI #tictocnews... 
17," Apr 18, 2018 ", Kraft Heinz Is Partnering With Momofuku to Stay Relevant ," restaurant group since Momofuku Noodle Bar opened in Manhattan in 2004, will be available on Amazon.com in the original flavor and new spicy and smoky versions.Until now, Ssam sauce has had a limited... "
18," Apr 18, 2018 "," Fox, AMC Networks Lead $75 Million Funding Round for FuboTV "," subscriber. A growing number of viewers are opting for on-demand services from Netflix Inc. and Amazon.com Inc. Those services don’t offer live sports, which are still the most popular programming... "
19," Apr 18, 2018 ", Bezos-Backed Cancer Startup Wants to Raise $1 Billion ," whose investors include Microsoft Corp. co-founder Bill Gates and the personal venture fund of Amazon.com Inc. founder Jeff Bezos, is working with advisers on the new round, said the people, who... "
20," Apr 17, 2018 ", Internet Sales Taxes Divide U.S. Supreme Court Justices ," which don’t collect taxes in South Dakota.Amazon.com Inc., the biggest online retailer, isn’t directly involved. When selling its own inventory, Amazon charges sales tax in states that impose one... "
